date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:43	149282/149282	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:23:43%20GMT	https://davisdigitalconsulting.com/	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/index.html	(from )
09:23:43	159/159	---M-Z	200	added ('OK')	text/plain	date:Wed,%2011%20Sep%202024%2014:23:42%20GMT	https://davisdigitalconsulting.com/robots.txt		(from )
09:23:43	34882/34882	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Sep%202024%2014:23:43%20GMT	https://davisdigitalconsulting.com/wp-content/uploads/2024/02/Davis-2.png	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/uploads/2024/02/Davis-2.png	(from https://davisdigitalconsulting.com/)
09:23:43	48878/48878	---M-Z	200	added ('OK')	text/css	etag:%22beee-66c4d391-80e459402ee1776f;gz%22	https://davisdigitalconsulting.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.8.0	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/themes/astra/assets/css/minified/frontend.min287d.css	(from https://davisdigitalconsulting.com/)
09:23:44	3304/3304	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22ce8-66c4d391-5da913c33a227516;;;%22	https://davisdigitalconsulting.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://davisdigitalconsulting.com/)
09:23:44	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-66a28be1-c3a291afe4f8c12a;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/contact-form-7/includes/css/stylese2db.css	(from https://davisdigitalconsulting.com/)
09:23:44	882/882	---M-Z	200	added ('OK')	text/css	etag:%22372-66c4d391-897d2d88aa8e173;gz%22	https://davisdigitalconsulting.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.8.0	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min287d.css	(from https://davisdigitalconsulting.com/)
09:23:45	60705/60705	---M-Z	200	added ('OK')	text/css	etag:%22ed21-66e08628-2afc7a9db0418a9f;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.0	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/elementor/assets/css/frontend.min2401.css	(from https://davisdigitalconsulting.com/)
09:23:45	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-66e08628-2c2ca6b94605f8d4;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://davisdigitalconsulting.com/)
09:23:45	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-66e08628-ab111342c4d23904;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.0	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min2401.css	(from https://davisdigitalconsulting.com/)
09:23:46	1110/1110	---M-Z	200	added ('OK')	text/css	etag:%22456-66167c4c-1a927bbb48bd474f;gz%22	https://davisdigitalconsulting.com/wp-content/uploads/elementor/css/post-1399.css?ver=1712771245	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/uploads/elementor/css/post-1399357e.css	(from https://davisdigitalconsulting.com/)
09:23:46	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-66e08628-4be1a55729ead25b;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.24.0	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/elementor/assets/lib/animations/animations.min2401.css	(from https://davisdigitalconsulting.com/)
09:23:46	66107/66107	---M-Z	200	added ('OK')	text/css	etag:%221023b-66167c4c-dfbe56e37744a7c1;gz%22	https://davisdigitalconsulting.com/wp-content/uploads/elementor/css/post-1463.css?ver=1712771245	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/uploads/elementor/css/post-1463357e.css	(from https://davisdigitalconsulting.com/)
09:23:46	3829/3829	---M-Z	200	added ('OK')	text/css	etag:%22ef5-66df335e-d8f72a81dfea2da;gz%22	https://davisdigitalconsulting.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.0.4	C:/Users/Darrell/Downloads/Testing%20DDC%202/davisdigitalconsulting.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mindc24.css	(from https://davisdigitalconsulting.com/)
